threshold,precision,recall,f1_score
0.1,0.1937354988399072,0.5985663082437276,0.2927256792287467
0.15000000000000002,0.272572402044293,0.5734767025089605,0.3695150115473441
0.20000000000000004,0.33712984054669703,0.5304659498207885,0.41225626740947074
0.25000000000000006,0.42120343839541546,0.5268817204301075,0.4681528662420382
0.30000000000000004,0.5034722222222222,0.5197132616487455,0.5114638447971781
0.3500000000000001,0.5612648221343873,0.5089605734767025,0.5338345864661654
0.40000000000000013,0.6167400881057269,0.5017921146953405,0.5533596837944664
0.45000000000000007,0.6650485436893204,0.4910394265232975,0.5649484536082474
0.5000000000000001,0.7061855670103093,0.4910394265232975,0.5792811839323467
0.5500000000000002,0.7297297297297297,0.4838709677419355,0.5818965517241379
0.6000000000000002,0.7764705882352941,0.4731182795698925,0.5879732739420935
0.6500000000000001,0.8148148148148148,0.4731182795698925,0.5986394557823129
0.7000000000000002,0.8205128205128205,0.45878136200716846,0.5885057471264368
0.7500000000000002,0.8235294117647058,0.45161290322580644,0.5833333333333334
0.8000000000000002,0.8333333333333334,0.44802867383512546,0.5827505827505828
0.8500000000000002,0.8402777777777778,0.4336917562724014,0.5721040189125296
0.9000000000000002,0.8666666666666667,0.41935483870967744,0.5652173913043478
